               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.052307,            0.049615,           0.0014761,             0.33708,             0.24708,             0.18661,            0.054611,            0.075909,            0.060333,           0.0039249,           0.0070988,           0.0070988,            0.034399
                  56,            0.053378,             0.04908,           0.0015084,             0.30722,             0.26598,             0.17064,            0.049367,            0.075295,             0.05906,           0.0046591,           0.0072194,           0.0072194,            0.033219
                  57,            0.053897,            0.047922,           0.0014471,             0.39024,             0.21677,             0.17058,            0.043036,            0.073452,            0.061278,           0.0039012,           0.0073396,           0.0073396,             0.03204
                  58,            0.052272,            0.050371,           0.0015509,              0.2579,             0.27134,             0.15929,            0.043361,            0.075289,            0.060113,           0.0042253,           0.0074596,           0.0074596,             0.03086
                  59,            0.053516,            0.047317,           0.0016886,             0.26858,             0.22277,             0.15726,            0.042355,            0.075061,            0.061384,           0.0039771,           0.0075792,           0.0075792,            0.029679
                  60,            0.051549,            0.048374,            0.001343,             0.36612,             0.19319,              0.1411,            0.040616,              0.0749,            0.065887,            0.004342,           0.0076984,           0.0076984,            0.028498
                  61,            0.053206,            0.049604,           0.0015286,             0.30168,              0.1843,             0.12753,            0.031557,            0.075613,             0.06404,           0.0058257,           0.0078173,           0.0078173,            0.027317
                  62,            0.051327,            0.047594,           0.0013022,             0.41551,             0.21016,             0.17292,            0.045305,            0.074158,            0.059626,            0.004062,           0.0079358,           0.0079358,            0.026136
                  63,            0.051832,            0.047255,           0.0013828,             0.34975,             0.26269,             0.18396,            0.049678,            0.074052,             0.06253,           0.0043736,            0.008054,            0.008054,            0.024954
                  64,             0.05015,            0.048732,           0.0012259,             0.25033,             0.26964,             0.17251,            0.050222,            0.073207,            0.063205,           0.0046978,           0.0081718,           0.0081718,            0.023772
                  65,            0.052161,            0.048003,           0.0013327,             0.26837,              0.2197,             0.16018,            0.047169,            0.075644,            0.064341,           0.0042954,           0.0082892,           0.0082892,            0.022589
                  66,            0.050314,            0.047646,            0.001351,             0.24565,              0.2505,             0.13874,            0.036782,            0.076642,            0.068451,           0.0052865,           0.0084062,           0.0084062,            0.021406
                  67,             0.05127,            0.047861,           0.0014296,             0.19246,             0.20001,             0.11746,            0.031263,            0.077581,            0.070654,           0.0062066,           0.0085228,           0.0085228,            0.020223
                  68,             0.05031,            0.046907,            0.001246,             0.31157,             0.22758,             0.16821,            0.048047,            0.074247,            0.064837,           0.0049947,           0.0086391,           0.0086391,            0.019039
                  69,            0.049777,            0.047184,           0.0015053,             0.27376,             0.20565,              0.1521,            0.038187,            0.075281,            0.067903,           0.0047528,           0.0087549,           0.0087549,            0.017855
                  70,            0.051503,            0.047619,           0.0013654,             0.16793,             0.23619,             0.11878,            0.034635,            0.076943,            0.062528,           0.0041911,           0.0088704,           0.0088704,             0.01667
                  71,            0.049726,            0.047028,           0.0011312,             0.26828,             0.24596,             0.13988,            0.037833,            0.075126,            0.062544,           0.0055055,           0.0089854,           0.0089854,            0.015485
                  72,            0.050119,            0.047245,           0.0015778,              0.3112,             0.23035,             0.17291,            0.054235,            0.076666,             0.06267,           0.0040518,              0.0091,              0.0091,              0.0143
                  73,            0.050553,            0.048393,           0.0012866,             0.26179,             0.22346,             0.13046,            0.036587,             0.07663,            0.064944,           0.0043721,           0.0092142,           0.0092142,            0.013114
